names,scores,logfoldchanges,pvals,pvals_adj
PEX7,-1.4450845,-0.58968455,0.14843418091980862,0.5741189666345913
UBTD1,-1.4457772,-0.4186914,0.14823970503861705,0.5734328982220459
UIMC1,-1.4459071,-0.1813919,0.14820326248897758,0.5733580594480714
BIVM,-1.4460803,-0.6157674,0.14815468306900975,0.5732362437434759
AKIRIN2,-1.4461236,0.062184557,0.14814254011496253,0.5732362437434759
TSHZ1,-1.4462101,-1.4098227,0.148118256487828,0.573227565899928
HMGXB4,-1.4462101,-0.90385574,0.148118256487828,0.573227565899928
AC239800.3,-1.4462535,-0.5369411,0.14810611581469094,0.573227565899928
CD163L1,-1.4462535,0.1953242,0.14810611581469094,0.573227565899928
CACHD1,-1.4463834,-2.0752716,0.14806969835670275,0.573227565899928
RBMXL1,-1.4463834,-1.2320275,0.14806969835670275,0.573227565899928
STAC2,-1.4465133,-1.2047962,0.14803328774032673,0.573227565899928
KIAA1211L,-1.4465566,-0.49641132,0.14802115238844374,0.573227565899928
LAPTM5,-1.4468597,-0.11835971,0.14793622620610292,0.5730521083968907
INO80D,-1.4470329,-0.54053247,0.14788771367752343,0.5729303617092273
GNG12,-1.4470762,-0.06525143,0.14787558744495627,0.5729303617092273
GZMK,-1.4471627,-0.07672985,0.14785133725914126,0.5729217965334581
AC023157.3,-1.447336,-2.054752,0.14780284600409155,0.5728000750271807
MED9,-1.4475092,-0.9156738,0.14775436690315538,0.5726783724948602
