names,scores,logfoldchanges,pvals,pvals_adj
SLC35B1,1.8540251,0.30310747,0.06373556824279497,1.0
HSD17B4,1.853975,0.25442576,0.06374272337405146,1.0
GNB4,1.853625,0.45850068,0.06379282787252025,1.0
UROD,1.8530248,0.21416973,0.06387879697743613,1.0
SPACA9,1.8526747,0.27425236,0.06392898979318151,1.0
SAT2,1.8523247,0.098961376,0.06397921517466598,1.0
FBXW4,1.8520246,0.1369325,0.06402229143266959,1.0
TEAD3,1.8516746,0.24778855,0.0640725773330997,1.0
TALDO1,1.8500241,0.18344884,0.06431007890156999,1.0
PRDX3,1.8484237,0.24645278,0.06454107703539995,1.0
POLR2K,1.8474734,0.2020695,0.06467855588612778,1.0
REPS2,1.8456229,0.40161085,0.06494697136904867,1.0
PATZ1,1.845573,0.35473612,0.06495423857616497,1.0
HSPA9,1.8449228,0.18752635,0.06504877332838974,1.0
WDR59,1.8437225,0.4982437,0.06522359718856097,1.0
RPS17,1.8430222,0.18848164,0.06532575660116459,1.0
MSL1,1.842172,0.27922827,0.06544998467469798,1.0
JCAD,1.841972,1.1236906,0.06547924310072091,1.0
TAGLN2,1.8410718,0.097498514,0.06561103950273553,1.0
TAPT1,1.8401716,0.6872925,0.06574305452380355,1.0
BLOC1S6,1.8397715,0.7018807,0.06580179810733285,1.0
UBL4A,1.838171,0.24708636,0.06603720523487838,1.0
PMF1,1.838021,0.1423468,0.06605931018865074,1.0
LMNB2,1.838021,0.5162009,0.06605931018865074,1.0
MFSD14B,1.8377209,0.3678255,0.06610353838780363,1.0
TCF12,1.8361706,0.52184504,0.06633243961267153,1.0
SEC22B,1.8361706,0.31249267,0.06633243961267153,1.0
ATXN2L,1.8361205,0.16739738,0.06633983438086366,1.0
SMOC2,1.8354204,0.20500551,0.06644343245990707,1.0
FERMT2,1.8344201,1.0041018,0.06659166084475268,1.0
CNPY4,1.8335699,0.5017158,0.06671786900085835,1.0
UNC5B,1.8321195,0.18267563,0.06693361982960741,1.0
RNF10,1.8320695,0.19043598,0.06694106974621808,1.0
UBE2Q2,1.829919,0.5298015,0.06726206252379459,1.0
PLEKHO2,1.8294688,0.26176387,0.06732940712291385,1.0
CREB3,1.8290187,0.13178836,0.0673968072012627,1.0
OAZ2,1.8279184,0.24823418,0.06756179670886746,1.0
PRKAB1,1.8277184,0.32402918,0.0675918304745927,1.0
NAGK,1.8275683,0.13081113,0.06761436300663823,1.0
TMEM214,1.825918,0.19705541,0.06786262896018672,1.0
ASNSD1,1.8247676,0.35434812,0.06803610581660306,1.0
RFC1,1.8246176,0.26535124,0.06805876009464211,1.0
SPON2,1.8219669,0.027916014,0.06846000952592579,1.0
COPS6,1.8209167,0.1656681,0.0686195321012666,1.0
AC244090.1,1.8202164,0.35753793,0.06872605011033521,1.0
PRNP,1.8200665,0.44540548,0.06874889306711866,1.0
DUT,1.8180159,0.38095316,0.06906170591343191,1.0
FIBIN,1.8167655,0.7142044,0.06925301864086937,1.0
YTHDF2,1.8164154,0.3115295,0.06930666413915065,1.0
ARAF,1.8161654,0.20589338,0.06934500324385949,1.0
KIF5B,1.8158653,0.21155863,0.06939103315905597,1.0
BAZ2A,1.8146651,0.21362701,0.0695754038000963,1.0
TPP1,1.8141649,0.25128156,0.06965234351894957,1.0
CTDNEP1,1.8138648,0.20156123,0.06969854087075077,1.0
ARMH3,1.8136147,0.49710363,0.06973705787685743,1.0
SEC23IP,1.8131146,0.3330921,0.06981414431115758,1.0
CAB39,1.8124645,0.26358265,0.06991446123200641,1.0
GJA5,1.8123144,1.2927791,0.06993762808479337,1.0
CHMP4A,1.810714,0.22656035,0.07018513343964962,1.0
TRAF4,1.8101639,0.13336311,0.07027037922460576,1.0
FBLIM1,1.8091636,0.3474426,0.07042558920119532,1.0
SHISA5,1.8084635,0.09853463,0.0705344034340435,1.0
GLRX,1.8083634,0.23424865,0.07054995957657602,1.0
POLR1D,1.806613,0.16699272,0.0708226479165835,1.0
PRPF40A,1.8064629,0.22234844,0.07084606136494669,1.0
SWAP70,1.8064129,0.40220514,0.07085386725807888,1.0
WRB,1.8058628,0.36126867,0.07093977863848272,1.0
AC060780.1,1.8052626,0.35193676,0.07103359753742525,1.0
BCLAF1,1.8052626,0.30569696,0.07103359753742525,1.0
SDC3,1.8048625,0.25221336,0.07109619996632695,1.0
ATP5F1A,1.8044624,0.22859961,0.07115884761864998,1.0
TXNDC17,1.8042624,0.24632402,0.07119018841066728,1.0
SLC9A1,1.8041123,0.30765998,0.07121370142956301,1.0
ZBTB38,1.803112,0.66230875,0.0713706176206741,1.0
JAGN1,1.8021117,0.2257287,0.07152781707712944,1.0
NCLN,1.8021117,0.14369825,0.07152781707712944,1.0
PTTG1,1.8006114,0.22287425,0.07176414815826174,1.0
PLTP,1.8003614,0.023815555,0.07180359879732622,1.0
MARS,1.7999113,0.2526615,0.07187465471891016,1.0
GLRX2,1.7995611,0.41684228,0.07192996024972442,1.0
EHD4,1.7995611,0.37329584,0.07192996024972442,1.0
ZBTB7B,1.7995112,0.1502417,0.07193786388470272,1.0
GSTO2,1.798911,0.29300225,0.07203276300226179,1.0
AZIN1,1.7984608,0.20802593,0.07210400460884132,1.0
PRPF4B,1.7970605,0.26201895,0.0723260142676492,1.0
IDS,1.7956601,0.22287142,0.07254858332381595,1.0
RAPH1,1.79521,0.6077532,0.07262024233789083,1.0
SNHG15,1.7944099,0.14605106,0.07274777919241962,1.0
SIPA1,1.7938597,0.24050635,0.07283556707473994,1.0
NAP1L4,1.7937096,0.20024064,0.07285952426535752,1.0
TNFRSF1B,1.7920092,0.42567497,0.07313149004876535,1.0
MT1X,1.7905588,0.40205595,0.07336411668081075,1.0
COG5,1.7895585,0.3727319,0.07352490122071975,1.0
RAB36,1.7893085,0.36361343,0.07356514235197319,1.0
ELK1,1.787358,0.31285825,0.0738796416960707,1.0
B4GALT7,1.787208,0.21276775,0.07390387941289774,1.0
SPTLC2,1.7864078,0.3648957,0.07403325704656222,1.0
AGO2,1.7859076,0.69809335,0.07411421204028379,1.0
LIMS2,1.7851075,0.5280416,0.07424389051568372,1.0
SFPQ,1.7844573,0.18743382,0.07434939076307934,1.0
CRNKL1,1.7842072,0.52774084,0.07439000038682923,1.0
MKRN1,1.783307,0.27561805,0.07453634512792845,1.0
MCRS1,1.7825068,0.12066709,0.07466662672619928,1.0
TTC37,1.7821066,0.35376704,0.07473183724990025,1.0
DGAT1,1.7818066,0.30005908,0.07478077566581204,1.0
PPP1R14B,1.7813065,0.10507857,0.07486239786004226,1.0
MLX,1.7808564,0.18417944,0.07493592003321328,1.0
UBE2H,1.7802062,0.21064873,0.07504222282317072,1.0
MRPL16,1.7792059,0.25504088,0.07520600600213656,1.0
KRT14,1.7790059,0.24770859,0.07523879763514704,1.0
ATRAID,1.7779557,0.13631232,0.07541114527430312,1.0
LRRC75B,1.7760551,0.20768915,0.07572383155360689,1.0
ADCY7,1.7759551,0.6192478,0.07574031799060818,1.0
DDIT3,1.7747548,0.24929973,0.07593838379262295,1.0
ENOPH1,1.7737545,0.3663868,0.07610376125271488,1.0
NDN,1.7732044,0.9129862,0.07619484401184982,1.0
SDSL,1.7731044,0.14850636,0.07621141406255678,1.0
FAM219A,1.7731044,0.5076233,0.07621141406255678,1.0
UBE2Q1,1.7730544,0.16596867,0.07621970019003425,1.0
TC2N,1.7729543,0.40437406,0.07623627464945947,1.0
C1orf198,1.7724042,0.21213804,0.0763274867309972,1.0
DNAJB12,1.7718041,0.1954129,0.07642709230529275,1.0
HELZ,1.7712039,0.6084284,0.07652680385199508,1.0
CAPZA1,1.7698035,0.22510624,0.07675987667392975,1.0
SRSF10,1.7696035,0.25784916,0.07679321998121624,1.0
RANBP2,1.7696035,0.2778899,0.07679321998121624,1.0
AHCYL1,1.7682531,0.22932935,0.077018596248734,1.0
RPS6KA1,1.7681031,0.4727528,0.07704367129862041,1.0
ATP6V0E2,1.767753,0.16771273,0.07710220562273336,1.0
CIRBP,1.767753,0.08353523,0.07710220562273336,1.0
RUVBL1,1.7662026,0.20462142,0.07736186484479424,1.0
ERP44,1.7653524,0.3231763,0.07750456081354123,1.0
GNAQ,1.764052,0.30885482,0.07772321636617387,1.0
LPGAT1,1.7630517,0.23488885,0.07789175459701153,1.0
DDAH1,1.7630018,0.5986906,0.07790018931444548,1.0
RMND5B,1.7626517,0.28074542,0.07795925316381856,1.0
USP11,1.7617015,0.54286945,0.07811975315213919,1.0
FAM208B,1.7612013,0.4536348,0.07820433482149666,1.0
EXT2,1.760151,0.35270637,0.07838219899031745,1.0
ADAM10,1.7599009,0.4721893,0.07842459609472532,1.0
CAV2,1.7593008,0.8255381,0.07852642529915453,1.0
TRMT112,1.7585006,0.20972718,0.07866236492118499,1.0
INSR,1.7583506,0.5845119,0.07868787490564949,1.0
ZCCHC10,1.7582506,0.5384527,0.07870488530129437,1.0
ABCF3,1.7582005,0.1324085,0.07871339162105083,1.0
TMF1,1.7579005,0.45108238,0.07876444524946992,1.0
PTPRM,1.7536994,0.77165246,0.07948202892826184,1.0
SAE1,1.7529992,0.24892147,0.07960214138188373,1.0
VPS39,1.7524991,0.21899562,0.07968802630176529,1.0
RUNX1,1.752099,0.26770347,0.07975678845794801,1.0
SEMA4B,1.7518989,0.34698918,0.07979118761729988,1.0
FAM83H,1.7515489,0.14806984,0.07985141516237536,1.0
ENTPD1,1.7501985,0.81036496,0.08008406760000561,1.0
ZNF76,1.7501485,0.20204978,0.08009269492346972,1.0
HSPH1,1.7498984,0.21399975,0.08013584286940184,1.0
UVRAG,1.7496984,0.27475822,0.08017037482315285,1.0
COL14A1,1.7493483,0.14394026,0.08023083483384227,1.0
UBE2Z,1.7493483,0.16169485,0.08023083483384227,1.0
TNFSF13B,1.748548,0.7669307,0.08036916825301849,1.0
HERC2,1.7484981,0.50083375,0.08037782052097689,1.0
COMP,1.7465975,0.018884014,0.08070716778845251,1.0
SLC7A1,1.7461475,0.68004465,0.080785331387081,1.0
CRELD2,1.7458974,0.32644898,0.08082878216248288,1.0
CLPTM1L,1.7458974,0.17785285,0.08082878216248288,1.0
ARHGEF10L,1.7457473,0.41805366,0.08085486173496055,1.0
KAT6B,1.7456974,0.7284298,0.08086355644392637,1.0
PSEN1,1.7453972,0.45196432,0.08091574064130781,1.0
NPL,1.7450472,0.85508007,0.08097665675881194,1.0
TM6SF1,1.7450472,1.0042541,0.08097665675881194,1.0
NFIA,1.7449971,0.33306682,0.08098536209984865,1.0
ARFGAP3,1.7437968,0.5215714,0.08119451831743517,1.0
ACP1,1.7432967,0.19614384,0.08128179604828561,1.0
UCHL1,1.7427967,0.88479406,0.08136914990730797,1.0
PTPN18,1.7422965,0.24443889,0.08145657993903643,1.0
MANBAL,1.7416463,0.13551982,0.08157035293171687,1.0
OXA1L,1.7412462,0.21974048,0.08164043114593911,1.0
BCAP29,1.7410961,0.34796977,0.08166672306632419,1.0
NTN4,1.7409462,0.21892694,0.08169302185588075,1.0
ZMAT2,1.740546,0.23264146,0.08176318555312595,1.0
AFDN,1.740296,0.22774012,0.08180706268372026,1.0
PHF20,1.7384955,0.31625703,0.08212354216160547,1.0
PTGS1,1.7381954,0.7610683,0.08217638514534904,1.0
ESAM,1.7360948,0.3754436,0.0825470585214094,1.0
NUDC,1.7360449,0.13913108,0.08255590057034153,1.0
DOK1,1.7355947,0.16880065,0.08263551356436422,1.0
TSPAN15,1.7352947,0.15593134,0.08268862345803607,1.0
CCNG2,1.7349446,0.17453267,0.08275061996388663,1.0
CCNL2,1.7337943,0.12309356,0.0829545880590626,1.0
TMEM47,1.7321938,1.1607804,0.08323904724911596,1.0
DNAJC10,1.7321938,0.1933523,0.08323904724911596,1.0
SLK,1.7320938,0.24102566,0.08325685215311192,1.0
NOTCH2,1.7314937,0.38141823,0.08336374637527812,1.0
NAGA,1.728293,0.42980912,0.08393572777188123,1.0
GPBP1,1.7269926,0.2225689,0.08416900088732156,1.0
RNF34,1.7264425,0.36781865,0.0842678511895861,1.0
TCF4,1.7259923,0.5333222,0.08434879857320594,1.0
EIF3E,1.7257422,0.15258476,0.08439379652404645,1.0
EBAG9,1.7238418,0.51928544,0.08473641609051602,1.0
GIT1,1.7234416,0.12170705,0.08480868970744347,1.0
NUBP1,1.7232416,0.3371788,0.08484484520961995,1.0
PTGR2,1.7223914,0.88514435,0.0849986452052069,1.0
IPO5,1.7223914,0.21647717,0.0849986452052069,1.0
TOR1AIP1,1.7213411,0.18576929,0.08518894463858274,1.0
HMG20B,1.720791,0.15214993,0.08528876269492135,1.0
CNOT7,1.7204409,0.23800051,0.08535233249592827,1.0
TEX261,1.7196907,0.444368,0.08548868248765358,1.0
RCN3,1.7180903,0.0459904,0.0857801509525133,1.0
RNF44,1.7178402,0.23765133,0.08582576535802461,1.0
FXR2,1.7152395,0.20366189,0.08630131802576554,1.0
ARHGEF7,1.7149395,0.37278977,0.08635632617912302,1.0
DPH3,1.7147894,0.41299778,0.08638384087341375,1.0
CSTF1,1.7141893,0.46943992,0.08649397046270595,1.0
PIGP,1.713389,0.2923695,0.0866409862616684,1.0
MESD,1.713389,0.273264,0.0866409862616684,1.0
FUBP3,1.7122887,0.3002798,0.08684346237069478,1.0
HIKESHI,1.7117386,0.23685157,0.08694484357981093,1.0
